row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,
Hà An,Phải thu ngắn hạn của khách hàng > Hà An,Hà An,Cung cấp dịch vụ môi giới,199.966.271.892,363.397.558.052,,199966271892.0,363397558052.0
Hà An,Phải thu ngắn hạn của khách hàng > Hà An,Hà An,Cung cấp dịch vụ quản lý,-,9.398.324.022,,,9398324022.0
Hà An,Phải thu ngắn hạn của khách hàng > Hà An,Hà An,"Bán căn hộ, nhà phố và đất nền",-,1.650.000.000,,,1650000000.0
Hà Thuận Hùng,Phải thu ngắn hạn của khách hàng > Hà Thuận Hùng,Hà Thuận Hùng,Cung cấp dịch vụ môi giới,51.090.780.523,44.156.633.878,,51090780523.0,44156633878.0
Bà Nguyễn Thị Ngọc Tuyền,Phải thu ngắn hạn của khách hàng > Bà Nguyễn Thị Ngọc Tuyền,Bà Nguyễn Thị Ngọc Tuyền,Bán bắt động sản,25.827.171.079,-,,25827171079.0,
Hội An,Phải thu ngắn hạn của khách hàng > Hội An,Hội An,Cung cấp dịch vụ môi giới,5.811.807.680,-,,5811807680.0,
DXMN,Phải thu ngắn hạn của khách hàng > DXMN,DXMN,Cung cấp dịch vụ môi giới,151.260.206,588.189.809,,151260206.0,588189809.0
DXG,Phải thu ngắn hạn của khách hàng > DXG,DXG,Cung cấp dịch vụ môi giới,30.000.000,271.278.468,,30000000.0,271278468.0
DXG,Phải thu ngắn hạn của khách hàng > DXG,DXG,Cung cấp dịch vụ khác,569.176.108,-,,569176108.0,
Ông Trần Hoài Nam,Phải thu ngắn hạn của khách hàng > Ông Trần Hoài Nam,Ông Trần Hoài Nam,Doanh thu từ cho thuê,-,135.000.000,,,135000000.0
,,,,283.446.467.488,419.596.984.229,,283446467488.0,419596984229.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,
Nam Việt,Phải thu về cho vay ngắn hạn > Nam Việt,Nam Việt,Cho vay,36.000.000.000,-,,36000000000.0,
Ông Nguyễn Văn Văn,Phải thu về cho vay ngắn hạn > Ông Nguyễn Văn Văn,Ông Nguyễn Văn Văn,Cho vay,30.000.000.000,30.000.000.000,,30000000000.0,30000000000.0
Hà An,Phải thu về cho vay ngắn hạn > Hà An,Hà An,Cho vay,10.600.000.000,10.600.000.000,,10600000000.0,10600000000.0
DXMN,Phải thu về cho vay ngắn hạn > DXMN,DXMN,Cho vay,5.000.000.000,15.931.175.222,,5000000000.0,15931175222.0
,,,,81.600.000.000,56.531.175.222,,81600000000.0,56531175222.0
